answer,clue 1,clue 2,clue 3,clue 4,clue 5
BUIZEL,Sea Weasel Pokemon,Gen IV Water species,Water1 egg-group species,,
BULBASAUR,Seed Pokemon,Gen I Grass/Poison species,Monster egg-group species,,
BULK UP,Fighting status move,Gen III Fighting move,boosting move,,
BULLDOZE,Ground physical move,Gen V Ground move,60-power move,debuffing move,
BULLETPROOF,Chespin'S Evolutionary Line's signature Ability,Weather-linked trait,protective trait,,
BULLET PUNCH,Steel physical move,Gen IV Steel move,40-power move,priority move,
BULLET SEED,Grass physical move,Gen III Grass move,25-power move,,
BUNEARY,Rabbit Pokemon,Gen IV Normal species,Ground egg-group species,,
BUNNELBY,Digging Pokemon,Gen VI Normal species,Ground egg-group species,,
BURMY,Bagworm Pokemon,Gen IV Bug species,Bug egg-group species,,
BURN DRIVE,Species-linked power item,Signature battle item,,,
BURNED TOWER,Island location,Johto city,Johto landmark,Urban landmark,City in Johto
BURN HEAL,burning item,Gen I status cures,,,
BURN UP,Fire special move,Gen VII Fire move,130-power move,,
BUTTERFREE,Butterfly Pokemon,Gen I Bug/Flying species,Evolves from Metapod,Bug egg-group species,
BUZZWOLE,Swollen Pokemon,Gen VII Bug/Fighting species,No-Eggs egg-group species,,
BUZZY BUZZ,Electric special move,Gen VII Electric move,60-power move,,
CABO POCO,Paldea town,Paldea landmark,Town-side landmark,Town in Paldea,
CACNEA,Cactus Pokemon,Gen III Grass species,Plant egg-group species,,
CACTURNE,Scarecrow Pokemon,Gen III Grass/Dark species,Evolves from Cacnea,Plant egg-group species,
CALCIUM,Power item for Pokemon That Ingests It By,Pokemon That Ingests It By Sp. Atk boost item,,,
CALM MIND,Psychic status move,Gen III Psychic move,boosting move,,
CALYREX,Legendary Pokemon,Gen VIII King Pokemon,No-Eggs egg-group species,,
CAMERUPT,Eruption Pokemon,Mega form turns Fire/Ground,Gen III Fire/Ground species,Evolves from Numel,Ground egg-group species
CAMERUPTITE,Camerupt Mega stone,Mega Evolution stone,Held stone for Camerupt,Held Mega stone,Mega trigger stone
CAMOUFLAGE,Normal status move,Gen III Normal move,,,
CAMPHRIER,Island location,Kalos town,Kalos landmark,Town-side landmark,Town in Kalos
CAMPING GEAR,Unlocks progression content,Progress-gating key item,Adventure utility item,,
CANALAVE,Island location,Sinnoh city,Sinnoh landmark,Town-side landmark,Urban landmark
CANYON BIOME,Paldea landmark,Located in The Unova Region'S Blueberry Academy,,,
CANYON PLAZA,Paldea landmark,Plaza in Paldea,,,
CAPE BRINK,Kanto house,House in Kanto,Regional house,Island location,Kanto landmark
CAPSAKID,Spicy Pepper Pokemon,Gen IX Grass species,Plant egg-group species,,
CAPTIVATE,Normal status move,Gen IV Normal move,debuffing move,,
CARBINK,Fairy Pokemon,Gen VI Jewel Pokemon,Gen VI Rock/Fairy species,Fairy egg-group species,
CARBOS,Pokemon That Drink It By Speed boost item,Power item for Pokemon That Drink It By,,,
CARD KEY,Opens Doors In The Radio Tower,Unlocks progression content,,,
CARKOL,Coal Pokemon,Gen VIII Coal Pokemon,Gen VIII Rock/Fire species,Evolves from Rolycoly,Mineral egg-group species
CARNIVINE,Bug Catcher Pokemon,Gen IV Grass species,Plant egg-group species,,
CARRACOSTA,Prototurtle Pokemon,Evolves from Tirtouga,Water1 egg-group species,,
CARVANHA,Savage Pokemon,Gen III Water/Dark species,Water2 egg-group species,,
CASCARRAFA,Paldea city,Paldea landmark,Urban landmark,City in Paldea,
CASCOON,Cocoon Pokemon,Gen III Bug species,Evolves from Wurmple,Bug egg-group species,
CASSEROYA LAKE,Contains Socarrat Trail,Paldea landmark,,,
CASTAWAY SHORE,Hisui landmark,Located in The Central Region Of The Cobalt Coastlands Of Hisui,,,
CASTELIA,Unova city,Unova landmark,City in Unova,,
CASTELIA CONE,Cures all major status conditions,Full status remedy,Also cures confusion,,
CASTELIA GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
CASTFORM,Weather Pokemon,Gen III Normal species,Fairy egg-group species,,
CATASTROPIKA,Electric physical move,Gen VII Electric move,210-power move,,
CATCHING CHARM,Unlocks progression content,Progress-gating key item,Adventure utility item,,
CATERPIE,Worm Pokemon,Gen I Bug species,Bug egg-group species,,
CAVE OF BEING,Unova landmark,,,,
CAVE OF ORIGIN,Hoenn landmark,,,,
CEASELESS EDGE,Dark physical move,critical-hit move,Gen VIII Dark move,65-power move,
CELADON,Kanto city,Kanto landmark,City in Kanto,,
CELEBI,Mythical Pokemon,Gen II Time Travel Pokemon,No-Eggs egg-group species,,
CELEBRATE,Normal status move,Gen VI Normal move,,,
CELESTEELA,Launch Pokemon,Gen VII Steel/Flying species,No-Eggs egg-group species,,
CELESTIC,Sinnoh town,Sinnoh landmark,Town-side landmark,Town in Sinnoh,
CELL BATTERY,Boosts Attack after it takes electric-type damage,Attack boost on trigger,,,
CENTISKORCH,Radiator Pokemon,Gen VIII Fire/Bug species,Evolves from Sizzlipede,Bug egg-group species,
CENTRAL PLAZA,Paldea city,Paldea landmark,Urban landmark,City in Paldea,
CERULEAN,Kanto city,Kanto landmark,City in Kanto,,
CERULEAN CAVE,Kanto landmark,Kanto cave,,,
CERULEDGE,Fire Blades Pokemon,Gen IX Fire/Ghost species,Evolves from Charcadet,Humanshape egg-group species,
CETITAN,Terra Whale Pokemon,Gen IX Ice species,Evolves from Cetoddle,Ground egg-group species,
CETODDLE,Terra Whale Pokemon,Gen IX Ice species,Ground egg-group species,,
CHALLENGE ROAD,Galar cave,Galar landmark,Cave in Galar,,
CHANDELURE,Luring Pokemon,Mega form turns Ghost/Fire,Gen V Ghost/Fire species,Evolves from Lampent,Indeterminate egg-group species
CHANSEY,Egg Pokemon,Gen I Normal species,Evolves from Happiny,Fairy egg-group species,
CHARCADET,Fire Child Pokemon,Gen IX Fire species,Humanshape egg-group species,,
CHARCOAL,The Holder'S Fire-Type Moves By Power boost item,Boosts Fire moves for The Holder',Fire-move booster,Signature orb for The Holder',Species-specific power orb
CHARGE,Electric status move,Gen III Electric move,boosting move,,
CHARGE BEAM,Electric special move,Gen IV Electric move,50-power move,boosting move,
CHARIZARD,Flame Pokemon,Gen I Fire/Flying species,Evolves from Charmeleon,Mega-evolving species,Monster egg-group species
CHARIZARDITE X,Charizard X Mega stone,Mega Evolution stone,Held stone for Charizard X,Held Mega stone,Mega trigger stone
CHARIZARDITE Y,Charizard Y Mega stone,Mega Evolution stone,Held stone for Charizard Y,Held Mega stone,Mega trigger stone
CHARJABUG,Battery Pokemon,Gen VII Bug/Electric species,Evolves from Grubbin,Bug egg-group species,
CHARM,Fairy status move,Gen II Fairy move,debuffing move,,
CHARMANDER,Lizard Pokemon,Gen I Fire species,Monster egg-group species,,
CHARMELEON,Flame Pokemon,Gen I Fire species,Evolves from Charmander,Monster egg-group species,
CHARTI BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
CHATOT,Music Note Pokemon,Gen IV Normal/Flying species,Flying egg-group species,,
CHATTER,Flying special move,Gen IV Flying move,65-power move,,
CHEEK POUCH,Restores HP after a Berry,Berry-eating heal trait,healing trait,,
CHERI BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
CHERISH BALL,Event-only distribution item,Limited event key item,Special Poke Ball,,
CHERRIM,Blossom Pokemon,Gen IV Grass species,Evolves from Cherubi,Fairy egg-group species,
CHERRYGROVE,Johto town,Johto landmark,Town-side landmark,Urban landmark,Town in Johto
CHERUBI,Cherry Pokemon,Gen IV Grass species,Fairy egg-group species,,
CHESNAUGHT,Spiny Armor Pokemon,Mega form turns Grass/Fighting,Gen VI Grass/Fighting species,Evolves from Quilladin,Ground egg-group species
CHESPIN,Spiny Nut Pokemon,Gen VI Grass species,Ground egg-group species,,
CHESTO BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
CHEWTLE,Snapping Pokemon,Gen VIII Water species,Monster egg-group species,,
CHIEN PAO,Legendary Pokemon,Gen IX Ruinous Pokemon,No-Eggs egg-group species,,
CHIKORITA,Leaf Pokemon,Gen II Grass species,Monster egg-group species,,
CHILAN BERRY,Exchangeable collectible,Tradable exchange item,type protection,Held battle item,protective item
CHILL DRIVE,Species-linked power item,Signature battle item,,,
CHILLING NEIGH,Raises Attack after a knockout,Glastrier's signature Ability,KO-triggered Attack boost,Attack snowball trait,
CHILLING WATER,Stat-lowering move,50-power move,debuffing move,,
CHIMCHAR,Chimp Pokemon,Gen IV Fire species,Ground egg-group species,,
CHIMECHO,Wind Chime Pokemon,Mega form turns Psychic/Steel,Gen III Psychic species,Evolves from Chingling,Indeterminate egg-group species
CHINCHOU,Angler Pokemon,Gen II Water/Electric species,Water2 egg-group species,,
CHINGLING,Bell Pokemon,No-Eggs egg-group species,,,
CHIP AWAY,Normal physical move,Gen V Normal move,70-power move,,
CHIPPED POT,Antique Form Sinistea evolution item,Held item for Antique Form Polteageist Upon Use,Evolution-trigger item,Evolves Antique Form Sinistea into Antique Form Polteageist Upon Use,
CHI YU,Legendary Pokemon,Gen IX Ruinous Pokemon,No-Eggs egg-group species,,
CHLOROBLAST,Grass special move,Gen VIII Grass move,150-power move,debuffing move,
CHLOROPHYLL,Doubles Speed in sunlight,Sun-boosted Speed trait,Faster in harsh sunlight,Weather-linked trait,
CHOICE BAND,Boosts Attack Stat but locks one move,Power item for One Move,One Move-only held item,Single-move-locking held item,Raises Attack
CHOICE SCARF,Boosts Speed Stat but locks one move,Power item for One Move,One Move-only held item,Single-move-locking held item,Raises Speed
CHOICE SPECS,Boosts Sp. Atk but locks one move,Single-move-locking held item,,,
CHOPLE BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
CIANWOOD,Johto town,Johto landmark,Town-side landmark,Urban landmark,Town in Johto
CINCCINO,Scarf Pokemon,Gen V Normal species,Evolves from Minccino,Ground egg-group species,
CINDERACE,Striker Pokemon,Gen VIII Fire species,Evolves from Raboot,Ground egg-group species,
CIRCHESTER,Galar town,Galar landmark,Town-side landmark,Urban landmark,Town in Galar
CIRCLE THROW,Fighting physical move,Gen V Fighting move,60-power move,switching move,
CLAMP,Water physical move,Gen I Water move,35-power move,,
CLAMPERL,Bivalve Pokemon,Gen III Water species,Water1 egg-group species,,
CLAUNCHER,Water Gun Pokemon,Gen VI Water species,Water1 egg-group species,,
CLAW FOSSIL,Revives into Anorith,Gen III relic for Anorith,Unlocks progression content,Progress-gating key item,Prehistoric revival item
CLAWITZER,Howitzer Pokemon,Gen VI Water species,Evolves from Clauncher,Water1 egg-group species,
CLAYDOL,Clay Doll Pokemon,Gen III Ground/Psychic species,Evolves from Baltoy,Mineral egg-group species,
CLAY TUNNEL,Unova cave,Ancient regional ruins,Unova landmark,Cave in Unova,
CLEANSE TAG,Repels wild Pokemon,Cuts wild encounter rate,,,
CLEAR AMULET,Prevents the holder's stats from being lowered,Blocks enemy stat drops,,,
CLEAR BELL,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,Story-progress key item
CLEAR BODY,Protects stats from drops,Stat-drop blocking trait,Keeps stats from falling,debuffing trait,
CLEAR SMOG,Poison special move,Gen V Poison move,50-power move,poisoning move,
CLEFABLE,Fairy Pokemon,Mega form turns Fairy/Flying,Gen I Fairy species,Evolves from Clefairy,Fairy egg-group species
CLEFAIRY,Fairy Pokemon,Gen I Fairy species,Evolves from Cleffa,Fairy egg-group species,
CLEFFA,Star Shape Pokemon,No-Eggs egg-group species,,,
CLEVER MOCHI,Gen IX vitamins,vitamins,,,
CLEVER WING,Gen V vitamins,vitamins,,,
CLIFF CAVE,Site on Route 47,Johto landmark,,,
CLIFF EDGE GATE,Island location,Johto town,Johto landmark,Town-side landmark,Urban landmark
CLOBBOPUS,Tantrum Pokemon,Gen VIII Fighting species,Water1 egg-group species,,
CLODSIRE,Spiny Fish Pokemon,Gen IX Poison/Ground species,Evolves from Paldean,Water1 egg-group species,
CLOSE COMBAT,Fighting physical move,Gen IV Fighting move,120-power move,debuffing move,
CLOUDCAP PASS,Hisui landmark,Located in The Northern Region Of The Coronet Highlands Of Hisui,,,
CLOUD NINE,Cancels weather effects,Psyduck And Golduck's signature Ability,Turns weather ineffective,Weather-clearing trait,
CLOVER SWEET,Milcery evolution item,Requires a spin while held,Spin-to-evolve held item,Evolution-trigger item,
CLOYSTER,Bivalve Pokemon,Gen I Water/Ice species,Evolves from Shellder,Water3 egg-group species,
COACHING,Fighting status move,Gen VIII Fighting move,,,
COALOSSAL,Coal Pokemon,Gen VIII Coal Pokemon,Gen VIII Rock/Fire species,Evolves from Carkol,Mineral egg-group species
COASTAL BIOME,Paldea landmark,Located in The Unova Region'S Blueberry Academy,,,
COASTAL PLAZA,Paldea landmark,Plaza in Paldea,,,
COBA BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
COBALION,Legendary Pokemon,Gen V Iron Will Pokemon,No-Eggs egg-group species,,
COFAGRIGUS,Coffin Pokemon,Gen V Ghost species,Evolves from Yamask,Mineral egg-group species,
COIL,Poison status move,Gen V Poison move,boosting move,,
COIN CASE,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,Adventure utility item
COLBUR BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
COLD STORAGE,Unova city,Unova landmark,City in Unova,,
COLOR CHANGE,Changes type when hit,Kecleon's signature Ability,Becomes the attack's type,Hit-triggered type shift,Weather-linked trait
COMATOSE,Komala's signature Ability,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,
COMBAT TORQUE,Copies the foe's last move,Fighting physical move,paralyzing move,Gen IX Fighting move,100-power move
COMBEE,Tiny Bee Pokemon,Gen IV Bug/Flying species,Bug egg-group species,,
COMBUSKEN,Young Fowl Pokemon,Gen III Fire/Fighting species,Evolves from Torchic,Ground egg-group species,
COMET PUNCH,Normal physical move,Gen I Normal move,18-power move,,
COMEUPPANCE,Dark physical move,Gen IX Dark move,1-power move,priority move,
COMFEY,Posy Picker Pokemon,Gen VII Fairy species,Plant egg-group species,,
COMMANDER,Powers up Dondozo from inside,Tatsugiri's signature Ability,Enters Dondozo's mouth,Ally-swallowing boost trait,
COMPETITIVE,boosting trait,debuffing trait,,,
COMPOUND EYES,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,,
CONCERT EVENT,regional map location,Gen IV location,,,
CONFIDE,Normal status move,Gen VI Normal move,debuffing move,,
CONFIDENCE,Morale-Boosting ability,Morale-Boosting power,,,
CONFUSE RAY,Confusion-causing move,Ghost status move,Gen I Ghost move,,
CONFUSION,Psychic special move,Gen I Psychic move,50-power move,,
CONKELDURR,Muscular Pokemon,Gen V Fighting species,Evolves from Gurdurr,Humanshape egg-group species,
CONQUEROR,Domineering ability,Domineering power,,,
CONSTRICT,Normal physical move,Gen I Normal move,10-power move,debuffing move,
CONTEST HALL,Building where Pokemon Contests are held,Sinnoh landmark,,,
CONTEST PASS,PokBlock-making berry,Berry-blending ingredient,Unlocks progression content,Progress-gating key item,Story or event key item
CONTRARY,paralyzing ability,boosting ability,debuffing ability,protective ability,Gen V ability
CONVERSION,Normal status move,Gen I Normal move,,,
COPPERAJAH,Copperderm Pokemon,Gen VIII Steel species,Evolves from Cufant,Ground egg-group species,
COPYCAT,Copies the foe's last move,Normal status move,Gen IV Normal move,,
CORE ENFORCER,Dragon special move,Gen VII Dragon move,100-power move,,
CORNN BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
CORPHISH,Ruffian Pokemon,Gen III Water species,Water1 egg-group species,,
CORROSION,Lets poison affect Steel-types,Salandit And Salazzle's signature Ability,Poisons even Poison foes,Bypasses poison immunity,poisoning trait
CORROSIVE GAS,Poison status move,Gen VIII Poison move,poisoning move,,
CORSOLA,Coral Pokemon,Gen II Water/Rock species,Water1 egg-group species,,
CORTONDO,Paldea town,Paldea landmark,Town-side landmark,Town in Paldea,
CORVIKNIGHT,Raven Pokemon,Gen VIII Flying/Steel species,Evolves from Corvisquire,Flying egg-group species,
CORVISQUIRE,Raven Pokemon,Gen VIII Flying species,Evolves from Rookidee,Flying egg-group species,
COSMIC POWER,Psychic status move,Gen III Psychic move,boosting move,,
COSMOEM,Legendary Pokemon,Gen VII Protostar Pokemon,Evolves from Cosmog,No-Eggs egg-group species,
COSMOG,Legendary Pokemon,Gen VII Nebula Pokemon,No-Eggs egg-group species,,
COSTAR,Flamigo's signature Ability,Inherits teammate stat boosts,Ally stat-copying trait,,
